zh,profession,rarity,en,ja,id,sex,birth_place,team,logo,race,nation,group,hp,atk,def,res,re_deploy,cost,block,interval,position,tag,obtain_method,potential,trust,phy,flex,tolerance,plan,skill,adapt,sortid,subprofession,description
炎熔,术师,2,Lava,ラヴァ,PA15,女,维多利亚,行动预备组A1,行动预备组A1,萨卡兹,罗德岛,,1141,582,95,15,70s,27→30,1,2.9s,远程位,群攻,"公开招募, 标准寻访, 中坚寻访, 主线剧情","cost,re_deploy,interval,,cost`-1,-4,8,,-1","0,60,0",普通,普通,普通,普通,标准,标准,16,扩散术师,攻击造成群体法术伤害
炎狱炎熔,术师,4,Lava the Purgatory,炎獄ラヴァ,RF01,女,维多利亚,,罗德岛,萨卡兹,罗德岛,,1543,798,115,20,80s,32→35,1,2.9s,远程位,输出,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,90,0",标准,标准,普通,标准,优良,优良,179,扩散术师,攻击造成群体法术伤害
烈夏,近卫,4,Лето,リェータ,USS5,女,乌萨斯,乌萨斯学生自治团,乌萨斯学生自治团,乌萨斯,乌萨斯,,2280,680,375,10,70s,17→19,2,1.3s,近战位,输出 支援,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,26,,-1","210,40,0",优良,普通,优良,标准,标准,普通,308,领主,可以进行远程攻击，但此时攻击力降低至80%
烛煌,术师,5,Blaze the Igniting Spark,熾炎ブレイズ,REX1,女,炎,,罗德岛-精英干员,菲林,罗德岛,罗德岛-精英干员,1608,662,131,15,70s,19→21,1,1.6s,远程位,元素 输出 群攻,标准寻访,"cost,,atk,,cost`-1,,31,,-1","0,90,0",优良,优良,优良,标准,优良,优良,359,本源术师,攻击造成法术伤害，可以造成元素伤害
焰尾,先锋,5,Flametail,フレイムテイル,KZ11,女,卡西米尔,,红松骑士团,札拉克,卡西米尔,红松骑士团,2138,526,392,0,70s,12→14,2,1.05s,近战位,费用回复 生存,中坚寻访,"cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,85,0",标准,优良,标准,优良,标准,标准,213,尖兵,能够阻挡两个敌人
焰影苇草,医疗,5,Reed The Flame Shadow,焔影リード,DB02,女,维多利亚,,塔拉,德拉克,维多利亚,塔拉,1583,550,84,20,70s,15→17,1,1.6s,远程位,治疗 输出 削弱,标准寻访,"cost,,atk,cost,`-1,,26,-1,","0,50,30",优良,优良,标准,优良,优良,卓越,264,咒愈师,攻击造成法术伤害，攻击敌人时为攻击范围内一名友方干员治疗相当于50%伤害的生命值
煌,近卫,5,Blaze,ブレイズ,RE41,女,维多利亚,,罗德岛-精英干员,菲林,罗德岛,罗德岛-精英干员,2821,765,370,0,70s,20→22→24,2→2→3,1.2s,近战位,输出 生存,"公开招募, 中坚寻访","cost,,atk,,cost`-1,,28,,-1","0,60,45",优良,优良,优良,标准,优良,优良,117,强攻手,同时攻击阻挡的所有敌人
熔泉,狙击,4,Toddifons,トギフォンス,VC11,女,维多利亚,,维多利亚,瓦伊凡,维多利亚,,1667,954,123,0,70s,21→23,1,2.4s,远程位,输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,34,,-1","0,95,0",优良,标准,标准,标准,优良,优良,188,攻城手,优先攻击重量最重的敌人
燧石,近卫,4,Flint,フリント,SG06,女,萨尔贡,,萨尔贡,黎博利,萨尔贡,,2495,545,334,0,70s,8→10,1,0.78s,近战位,输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,24,,-1","0,75,0",标准,优良,普通,普通,标准,普通,156,斗士,能够阻挡一个敌人
爱丽丝,术师,4,Iris,アイリス,VC12,女,维多利亚,,维多利亚,菲林,维多利亚,,1535,1259,125,20,70s,22→24,1,3.0s,远程位,输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,45,,-1","0,130,0",普通,普通,标准,标准,普通,优良,176,秘术师,攻击造成法术伤害，在找不到攻击目标时可以将攻击能量储存起来之后一齐发射（最多3个）
特克诺,术师,4,Tecno,テクノ,BV23,女,玻利瓦尔,,玻利瓦尔,杜林,玻利瓦尔,,1655,519,70,20,70s,18→20,1,1.6s,远程位,召唤,标准寻访,"cost,re_deploy,atk,re_deploy,cost`-1,-4,25,-6,-1","200,0,35",普通,标准,普通,普通,普通,标准,355,塑灵术师,攻击造成法术伤害，可以通过击倒敌人生成召唤物，可攻击到自身召唤物阻挡的敌人
特米米,术师,4,Tomimi,トミミ,SG05,女,萨尔贡,,萨尔贡,阿达克利斯,萨尔贡,,1920,600,119,20,80s,20→22,1,1.6s,远程位,输出 生存,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","200,35,0",优良,普通,标准,标准,标准,标准,155,中坚术师,攻击造成法术伤害
狮蝎,特种,4,Manticore,マンティコア,SG01,女,萨尔贡,,萨尔贡,曼提柯,萨尔贡,,1630,811,343,30,70s,18→20,0,3.5s,近战位,输出 生存,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,30,,-1","0,60,30",优良,优良,标准,标准,优良,优良,71,伏击客,对攻击范围内所有敌人造成伤害拥有50%的物理和法术闪避且不容易成为敌人的攻击目标
猎蜂,近卫,3,Beehunter,ビーハンター,US10,女,乌萨斯,,乌萨斯,乌萨斯,乌萨斯,,2435,513,312,0,70s,7→9,1,0.78s,近战位,输出,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,hp,,cost`-1,-4,180,,-1","0,60,0",优良,标准,标准,普通,标准,标准,86,斗士,能够阻挡一个敌人
玛恩纳,近卫,5,Młynar,ムリナール,KZ08,男,卡西米尔,,卡西米尔,库兰塔,卡西米尔,,3906,355,502,15,70s,10→12,2→2→3,1.2s,近战位,输出 爆发,标准寻访,"cost,,atk,,cost`-1,,25,,-1","360,30,0",优良,卓越,优良,标准,卓越,优良,249,解放者,通常不攻击且阻挡数为0，技能未开启时40秒内攻击力逐渐提升至最高+200%且技能结束时重置攻击力
玛露西尔,术师,5,Marcille,マルシル,DD02,女,北方大陆（自称）,莱欧斯小队,莱欧斯小队,精灵,,,1805,914,130,20,70s,31→34,1,2.9s,远程位,群攻 治疗 控场,联动寻访,"cost,,atk,re_deploy,cost`-1,,34,-6,-1","0,110,0",普通,普通,普通,标准,优良,■■,344,扩散术师,攻击造成群体法术伤害
玫兰莎,近卫,2,Melantha,メランサ,PA41,女,维多利亚,行动预备组A4,行动预备组A4,菲林,罗德岛,,2745,738,155,0,70s,13→15,1,1.5s,近战位,输出 生存,"公开招募, 标准寻访, 中坚寻访, 主线剧情","cost,re_deploy,atk,re_deploy,cost`-1,-4,25,-6,-1","0,65,0",优良,优良,普通,标准,标准,标准,11,无畏者,能够阻挡一个敌人
玫拉,狙击,4,Melanite,メラナイト,CB22,女,哥伦比亚,,哥伦比亚,斐迪亚,哥伦比亚,,1664,792,210,0,70s,15→17→19,1,1.6s,远程位,输出 爆发,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,30,,-1","0,90,0",标准,优良,标准,优良,标准,标准,279,重射手,高精度的近距离射击
琳琅诗怀雅,特种,5,Swire the Elegant Wit,琳琅スワイヤー,LM22,女,龙门,,炎-龙门,菲林,炎-龙门,,2360,810,457,0,25s,7→9,1,1.0s,近战位,快速复活 爆发,标准寻访,"cost,,atk,,cost`-1,,30,,-1","300,55,0",标准,标准,标准,优良,标准,标准,292,行商,再部署时间减少，撤退时不返还部署费用，在场时每3秒消耗3点部署费用（不足时自动撤退）
琴柳,先锋,5,Saileach,サイラッハ,VC10,女,维多利亚,,维多利亚,瓦伊凡,维多利亚,,1835,546,367,0,70s,10→12,1,1.3s,近战位,费用回复 支援,中坚寻访,"cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,40,40",优良,标准,优良,普通,标准,标准,205,执旗手,技能发动期间阻挡数变为0
瑕光,重装,5,Blemishine,ブレミシャイン,KZ09,女,卡西米尔,,卡西米尔,库兰塔,卡西米尔,,3242,491,581,10,70s,18→20→22,2→3→3,1.2s,近战位,防护 治疗 输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,26,,-1","0,90,20",标准,优良,标准,标准,标准,优良,165,守护者,技能可以治疗友方单位
瑰盐,医疗,4,Rose Salt,ローズソルト,II11,女,伊比利亚,,伊比利亚,斐迪亚,伊比利亚,,1675,330,151,0,80s,17→19,1,2.85s,远程位,治疗 支援,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","200,30,0",普通,标准,标准,标准,标准,普通,354,群愈师,同时恢复三个友方单位的生命
电弧,辅助,5,Raidian,,RE10,女,乌萨斯,,罗德岛-精英干员,黎博利,罗德岛,罗德岛-精英干员,1069,466,143,20,70s,10→12,1,1.6s,远程位,召唤 输出 支援,活动获得,"cost,re_deploy,atk,,cost`-1,-4,24,,-1","300,20,20",普通,标准,标准,优良,优良,优良,379,召唤师,攻击造成法术伤害可以使用召唤物协助作战
白金,狙击,4,Platinum,プラチナ,KZ03,女,卡西米尔,,卡西米尔,库兰塔,卡西米尔,,1550,505,165,0,70s,11→13,1,1.0s,远程位,输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,75,0",标准,优良,普通,标准,优良,标准,53,速射手,优先攻击空中单位
白铁,辅助,5,Stainless,ステインレス,VC17,男,维多利亚,,维多利亚,菲林,维多利亚,,2723,593,421,0,70s,15→17→19,2,1.5s,近战位,支援 输出,标准寻访,"cost,re_deploy,atk,,cost`-1,-6,25,,-1","0,40,40",普通,标准,标准,优良,标准,标准,255,工匠,能够阻挡两个敌人，使用<支援装置>协助作战
白雪,狙击,3,ShiraYuki,シラユキ,LM10,女,东国,,东,阿纳缇,东,,1630,797,100,0,70s,23→25→27,1,2.8s,远程位,群攻 减速,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,re_deploy,cost`-1,-4,30,-6,-1","0,70,0",标准,优良,普通,普通,标准,普通,25,炮手,攻击造成群体物理伤害
白面鸮,医疗,4,Ptilopsis,フィリオプシス,RL04,女,哥伦比亚,,莱茵生命,黎博利,哥伦比亚,莱茵生命,1610,335,150,0,70s,15→17,1,2.85s,远程位,治疗 支援,"公开招募, 中坚寻访","cost,re_deploy,atk,re_deploy,cost`-1,-4,21,-6,-1","0,55,0",普通,普通,普通,标准,优良,优良,45,群愈师,同时恢复三个友方单位的生命
百炼嘉维尔,近卫,5,Gavial the Invincible,百錬ガヴィル,RF22,女,萨尔贡,,罗德岛,阿达克利斯,罗德岛,,2906,766,391,0,70s,20→22→24,2→2→3,1.2s,近战位,爆发 输出 生存,限定寻访,"cost,,atk,,cost`-1,,28,,-1","0,50,60",优良,标准,优良,标准,优良,标准,247,强攻手,同时攻击阻挡的所有敌人
真理,辅助,4,Истина,イースチナ,USS2,女,乌萨斯,乌萨斯学生自治团,乌萨斯学生自治团,乌萨斯,乌萨斯,,1280,518,104,20,70s,13→15,1,1.9s,远程位,减速 输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,65,0",普通,普通,普通,优良,优良,优良,69,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿
真言,术师,5,Mantra,,RE06,女,萨尔贡,,罗德岛-精英干员,斐迪亚,罗德岛,罗德岛-精英干员,1428,695,130,15,70s,19→21,1,1.6s,远程位,元素 输出 控场,标准寻访,"cost,re_deploy,atk,,cost`-1,-6,31,,-1","180,60,0",标准,标准,卓越,优良,优良,卓越,391,本源术师,攻击造成法术伤害，可以造成元素伤害
石棉,重装,4,Asbestos,アスベストス,RB05,女,雷姆必拓,,雷姆必拓,萨弗拉,雷姆必拓,,3135,633,555,15,70s,21→23→25,3,1.6s,近战位,防护 输出,"公开招募, 中坚寻访","cost,re_deploy,hp,re_deploy,cost`-1,-4,210,-6,-1","0,40,40",标准,优良,优良,标准,标准,标准,138,驭法铁卫,技能开启时普通攻击会造成法术伤害
石英,近卫,3,Quartz,クォーツ,CB18,女,哥伦比亚,,哥伦比亚,鲁珀,哥伦比亚,,5432,1387,0,0,70s,18→20→22,2,2.5s,近战位,输出,凭证交易所(采购),"cost,re_deploy,atk,,cost`-1,-4,35,,-1","300,50,0",标准,普通,标准,优良,标准,标准,256,重剑手,同时攻击阻挡的所有敌人
砾,特种,3,Gravel,グラベル,KZ04,女,卡西米尔,,卡西米尔,札拉克,卡西米尔,,1420,452,335,0,18s,6→8,1,0.93s,近战位,快速复活 防护,"公开招募, 标准寻访, 中坚寻访","cost,hp,re_deploy,,cost`-1,160,-2,,-1","300,0,0",标准,标准,标准,标准,优良,普通,34,处决者,再部署时间大幅度减少
祐天寺若麦,近卫,4,Yūtenji Nyamu,,AM04,女,未知,Ave Mujica,Ave Mujica,未知,,,2482,1190,354,0,80s,19→21,2,1.8s,近战位,群攻 输出 削弱,活动获得,"cost,re_deploy,cost,,cost`-1,-10,-1,,-1","150,40,25",标准,普通,标准,普通,普通,■■,384,撼地者,攻击使目标周围的其他敌人受到相当于攻击力50%的群体物理伤害
稀音,辅助,4,Scene,シーン,R162,女,萨尔贡,,萨尔贡,皮洛萨,萨尔贡,,1105,432,155,20,70s,9→11,1,1.6s,远程位,召唤 支援,"活动获得, 凭证交易所(高级/通用)","cost,re_deploy,res,re_deploy,cost`-1,-4,8,-6,-1","200,0,35",普通,缺陷,标准,普通,普通,优良,148,召唤师,攻击造成法术伤害可以使用召唤物协助作战
空,辅助,4,Sora,ソラ,PL05,女,因经纪公司要求不公开,,企鹅物流,因经纪公司要求不公开,炎-龙门,企鹅物流,1356,335,238,0,70s,5→7,1,1.3s,远程位,支援 治疗,中坚寻访,"cost,re_deploy,hp,re_deploy,cost`-1,-4,140,-6,-1","0,50,20",普通,普通,普通,标准,标准,优良,70,吟游者,不攻击，持续恢复范围内所有友军生命（每秒相当于自身攻击力10%的生命），自身不受鼓舞影响
空弦,狙击,5,Archetto,アルケット,LT08,女,拉特兰,,拉特兰,黎博利,拉特兰,,1705,528,172,0,70s,12→14,1,1.0s,远程位,输出,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,27,,-1","0,90,0",标准,优良,标准,标准,优良,标准,177,速射手,优先攻击空中单位
空构,特种,4,Spuria,スプリア,LT12,女,拉特兰,,拉特兰,萨科塔,拉特兰,,1893,662,138,10,70s,10→12,1,1.3s,远程位,支援 输出,标准寻访,"cost,re_deploy,atk,re_deploy,cost`-1,-4,24,-6,-1","200,45,0",普通,优良,标准,标准,优良,普通,285,怪杰,自身生命会不断流失
空爆,狙击,2,Catapult,カタパルト,PA63,女,卡西米尔,行动预备组A6,行动预备组A6,库兰塔,罗德岛,,1150,617,85,0,70s,21→23,1,2.8s,远程位,群攻,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,re_deploy,cost`-1,-4,27,-6,-1","0,55,0",标准,优良,普通,普通,标准,标准,84,炮手,攻击造成群体物理伤害
米格鲁,重装,2,Beagle,ビーグル,PA14,女,玻利瓦尔,行动预备组A1,行动预备组A1,佩洛,罗德岛,,2035,295,490,0,70s,16→18,3,1.2s,近战位,防护,"公开招募, 标准寻访, 中坚寻访, 主线剧情","cost,re_deploy,def,re_deploy,cost`-1,-4,28,-6,-1","0,0,60",优良,普通,优良,普通,标准,标准,13,铁卫,能够阻挡三个敌人
絮雨,医疗,4,Whisperain,ウィスパーレイン,R163,女,伊比利亚,,伊比利亚,阿戈尔,伊比利亚,,1432,492,119,10,70s,18→20,1,2.85s,远程位,治疗,"公开招募, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,23,,-1","200,40,0",普通,普通,缺陷,标准,标准,普通,167,疗养师,拥有较大治疗范围，但在治疗较远目标时治疗量变为80%
红,特种,4,Projekt Red,レッド,SW01,女,未公开,,S.W.E.E.P.,鲁珀,罗德岛,S.W.E.E.P.,1505,530,302,0,18s,7→9,1,0.93s,近战位,快速复活 控场,"公开招募, 中坚寻访","cost,atk,re_deploy,,cost`-1,20,-2,,-1","0,75,0",标准,卓越,标准,普通,卓越,普通,61,处决者,再部署时间大幅度减少
红云,狙击,3,Vermeil,ヴァーミル,R122,女,不明,,叙拉古,沃尔珀,叙拉古,,1230,485,162,0,70s,10→12,1,1.0s,远程位,输出,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,re_deploy,cost`-1,-4,24,-6,-1","0,65,0",普通,标准,普通,普通,标准,标准,103,速射手,优先攻击空中单位
红豆,先锋,3,Vigna,ヴィグナ,R105,女,卡兹戴尔,,哥伦比亚,萨卡兹,哥伦比亚,,1845,558,351,0,70s,9→11,1,1.0s,近战位,输出 费用回复,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,24,,-1","0,60,0",优良,标准,优良,普通,标准,标准,28,冲锋手,击杀敌人后获得1点部署费用，撤退时返还初始部署费用
红隼,先锋,4,Kestrel,ケストレル,SG12,女,萨尔贡,,萨尔贡,黎博利,萨尔贡,,1960,514,342,0,70s,11→13,2,1.05s,近战位,费用回复 输出,活动获得,"cost,re_deploy,atk,,cost`-1,-4,24,,-1","0,50,20",标准,普通,优良,普通,标准,标准,316,尖兵,能够阻挡两个敌人
纯烬艾雅法拉,医疗,5,Eyjafjalla the Hvít Aska,純燼エイヤフィヤトラ,LN10,女,莱塔尼亚,,莱塔尼亚,卡普里尼,莱塔尼亚,,1439,424,109,10,70s,14→16,1,2.85s,远程位,治疗,限定寻访,"cost,re_deploy,atk,,cost`-1,-4,23,,-1","200,45,0",普通,普通,缺陷,普通,普通,卓越,293,行医,恢复友方单位生命，并回复相当于攻击力50%的元素损伤（可以回复未受伤友方单位的元素损伤）
绮良,特种,4,Kirara,キララ,HK05,女,东国,,东,阿戈尔,东,,1780,798,340,30,70s,18→20,0,3.5s,近战位,输出 生存,中坚寻访,"cost,re_deploy,atk,,cost`-1,-4,30,,-1","200,60,0",普通,普通,标准,优良,普通,普通,196,伏击客,对攻击范围内所有敌人造成伤害拥有50%的物理和法术闪避且不容易成为敌人的攻击目标
维什戴尔,狙击,5,Wiš'adel,ウィシャデル,B00W,女,卡兹戴尔,,巴别塔,萨卡兹,,巴别塔,1888,687,256,15,70s,23→25,1,2.1s,远程位,输出,限定寻访,"cost,re_deploy,atk,,cost`-1,-4,32,,-1","0,90,0",标准,标准,优良,卓越,优良,标准,329,投掷手,攻击对小范围的地面敌人造成两次物理伤害（第二次为余震，伤害降低至攻击力的一半）
维娜·维多利亚,近卫,5,Vina Victoria,ヴィーナ・ヴィクトリア,VC00,女,维多利亚,,维多利亚,阿斯兰,维多利亚,,2895,675,420,15,70s,19→21,1,1.25s,近战位,输出 生存,标准寻访,"cost,,atk,,cost`-1,,28,,-1","0,70,30",优良,优良,优良,卓越,优良,标准,347,术战者,攻击造成法术伤害
维荻,特种,3,Verdant,ヴァーダント,VC25,男,维多利亚,,维多利亚,斐迪亚,维多利亚,,2266,672,259,0,70s,12→14,2,1.2s,近战位,生存 快速复活,"标准寻访, 中坚寻访","cost,re_deploy,hp,,cost`-1,-4,160,,-1","100,60,0",普通,优良,普通,标准,普通,标准,297,傀儡师,受到致命伤时不撤退，切换成<替身>作战（替身阻挡数为0），持续20秒后自身再次替换<替身>
缄默德克萨斯,特种,5,Texas the Omertosa,血掟テキサス,PL07,女,哥伦比亚,,企鹅物流,鲁珀,炎-龙门,企鹅物流,1598,569,320,0,18s,8→10,1,0.93s,近战位,快速复活 输出,限定寻访,"cost,atk,re_deploy,,cost`-1,22,-2,,-1","0,90,0",优良,优良,标准,优良,优良,优良,261,处决者,再部署时间大幅度减少
缠丸,近卫,3,Matoimaru,マトイマル,HK01,女,东国,,东,鬼,东,,3640,916,156,0,70s,15→17,1,1.5s,近战位,生存 输出,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,hp,,cost`-1,-4,180,,-1","450,0,0",优良,标准,优良,普通,标准,优良,30,无畏者,能够阻挡一个敌人
缪尔赛思,先锋,5,Muelsyse,ミュルジス,RL09,女,未公开,,莱茵生命,精灵,哥伦比亚,莱茵生命,1813,497,117,0,70s,13→15,1,1.0s,远程位,费用回复 控场,限定寻访,"cost,re_deploy,atk,,cost`-1,-4,25,,-1","0,40,40",普通,卓越,普通,优良,优良,缺陷,282,战术家,可以在攻击范围内选择一次战术点来召唤援军，自身攻击援军阻挡的敌人时攻击力提升至150%
罗宾,特种,4,Robin,ロビン,CB08,女,哥伦比亚,,哥伦比亚,阿纳缇,哥伦比亚,,1442,513,166,0,80s,11→13,1,0.85s,远程位,召唤 位移,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","200,40,0",标准,标准,标准,普通,标准,标准,172,陷阱师,可以使用陷阱来协助作战，但陷阱无法放置于敌人已在的格子中
罗小黑,近卫,3,Luo Xiaohei,羅小黒,R161,男,未知,,炎,菲林,炎,,2040,698,325,10,70s,15→17,2,1.3s,近战位,输出,活动获得,`,"0,30,25",优良,优良,标准,标准,优良,■■,250,领主,可以进行远程攻击，但此时攻击力降低至80%
罗比菈塔,辅助,3,Roberta,ロベルタ,CB11,女,哥伦比亚,,哥伦比亚,阿纳缇,哥伦比亚,,2470,535,415,0,70s,13→15→17,2,1.5s,近战位,防护 支援,"标准寻访, 中坚寻访","cost,re_deploy,def,,cost`-1,-4,35,,-1","0,35,35",普通,普通,标准,标准,标准,普通,203,工匠,能够阻挡两个敌人，使用<支援装置>协助作战
羽毛笔,近卫,4,La Pluma,ラ・プルマ,BV13,女,玻利瓦尔,,玻利瓦尔,黎博利,玻利瓦尔,,2250,650,452,0,70s,19→20→22,1→2→2,1.3s,近战位,输出,中坚寻访,"cost,re_deploy,def,re_deploy,cost`-1,-4,25,-6,-1","0,75,0",标准,优良,标准,标准,标准,标准,200,收割者,无法被友方角色治疗，攻击造成群体伤害，每攻击到一个敌人回复自身50生命，最大生效数等于阻挡数
翎羽,先锋,2,Plume,プリュム,LT05,女,拉特兰,,拉特兰,黎博利,拉特兰,,1226,445,279,0,70s,8→10,1,1.0s,近战位,输出 费用回复,"公开招募, 标准寻访, 中坚寻访, 主线剧情","cost,re_deploy,atk,re_deploy,cost`-1,-4,21,-6,-1","0,50,0",标准,优良,普通,普通,标准,普通,10,冲锋手,击杀敌人后获得1点部署费用，撤退时返还初始部署费用
耀骑士临光,近卫,5,Nearl the Radiant Knight,耀騎士ニアール,KZ01,女,卡西米尔,,卡西米尔,库兰塔,卡西米尔,,3550,1064,295,0,70s,17→19,1,1.5s,近战位,输出,限定寻访,"cost,re_deploy,atk,,cost`-1,-4,35,,-1","200,85,0",优良,优良,优良,优良,卓越,优良,214,无畏者,能够阻挡一个敌人
老鲤,特种,5,Lee,リー,LM18,男,炎,鲤氏侦探事务所,鲤氏侦探事务所,龙,炎-龙门,,2427,789,465,0,25s,7→9,1,1.0s,近战位,快速复活 生存 输出,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,30,,-1","300,55,0",标准,标准,标准,优良,标准,优良,222,行商,再部署时间减少，撤退时不返还部署费用，在场时每3秒消耗3点部署费用（不足时自动撤退）
耶拉,术师,4,Kjera,イェラ,JC00,女,谢拉格,,喀兰贸易,未公开,谢拉格,喀兰贸易,1475,294,121,20,80s,21→23,1,1.3s,远程位,输出 控场,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","0,60,0",普通,标准,标准,优良,标准,缺陷,215,驭械术师,操作浮游单元造成法术伤害单元攻击同一敌人伤害提升（最高造成干员110%攻击力的伤害）
聆音,近卫,4,Gracebearer,グレースベアラー,BV27,女,玻利瓦尔,,玻利瓦尔,未公开,玻利瓦尔,,2600,820,350,10,70s,18→20→22,2,1.2s,近战位,爆发 输出,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,30,,-1","0,80,0",标准,标准,标准,标准,优良,标准,370,本源近卫,能够阻挡两个敌人，可以造成元素伤害
能天使,狙击,5,Exusiai,エクシア,PL03,女,拉特兰,,企鹅物流,萨科塔,炎-龙门,企鹅物流,1673,540,161,0,70s,12→14,1,1.0s,远程位,输出,"公开招募, 中坚寻访","cost,,atk,cost,`-1,,27,-1,","0,90,0",标准,优良,标准,优良,优良,标准,73,速射手,优先攻击空中单位
至简,术师,4,Minimalist,ミニマリスト,SG09,男,杜林,,萨尔贡,杜林,萨尔贡,,1400,320,120,20,80s,21→23,1,1.3s,远程位,输出,"活动获得, 记录修复奖励","cost,re_deploy,cost,,cost`-1,-10,-1,,-1","100,40,0",普通,普通,普通,标准,普通,优良,244,驭械术师,操作浮游单元造成法术伤害单元攻击同一敌人伤害提升（最高造成干员110%攻击力的伤害）
艾丝黛尔,近卫,3,Estelle,エステル,IU04,女,未公开,,萨尔贡,阿达克利斯,萨尔贡,,2500,690,315,0,70s,18→20→22,2→2→3,1.2s,近战位,群攻 生存,公开招募,"cost,re_deploy,hp,,cost`-1,-4,200,,-1","350,0,0",优良,普通,标准,普通,普通,标准,32,强攻手,同时攻击阻挡的所有敌人
艾丽妮,近卫,5,Irene,アイリーニ,II07,女,伊比利亚,,伊比利亚,黎博利,伊比利亚,,2935,621,349,0,70s,19→21→23,2,1.3s,近战位,爆发 输出 控场,标准寻访,"cost,re_deploy,atk,,cost`-1,-4,23,,-1","0,80,20",普通,优良,标准,优良,优良,标准,235,剑豪,普通攻击连续造成两次伤害
艾拉,特种,5,Ela,Ela,RS05,女,未知,彩虹小队,彩虹小队,未知,,,1468,588,173,0,70s,10→12,1,0.85s,远程位,召唤 控场 输出,联动寻访,"cost,,atk,,cost`-1,,27,,-1","0,80,0",普通,标准,标准,优良,优良,■■,320,陷阱师,可以使用陷阱来协助作战，但陷阱无法放置于敌人已在的格子中
艾雅法拉,术师,5,Eyjafjalla,エイヤフィヤトラ,LN02,女,莱塔尼亚,,莱塔尼亚,卡普里尼,莱塔尼亚,,1743,645,122,20,70s,19→21,1,1.6s,远程位,输出 削弱,中坚寻访,"cost,,atk,cost,`-1,,27,-1,","0,90,0",普通,普通,普通,普通,普通,卓越,76,中坚术师,攻击造成法术伤害
芙兰卡,近卫,4,Franka,フランカ,BS01,女,哥伦比亚,,黑钢国际,沃尔珀,哥伦比亚,黑钢国际,3768,936,235,0,70s,16→18,1,1.5s,近战位,输出 生存,中坚寻访,"cost,re_deploy,atk,re_deploy,cost`-1,-4,30,-6,-1","0,75,25",优良,标准,标准,优良,优良,优良,48,无畏者,能够阻挡一个敌人
芙蓉,医疗,2,Hibiscus,ハイビスカス,PA13,女,维多利亚,行动预备组A1,行动预备组A1,萨卡兹,罗德岛,,1220,345,110,0,70s,15→17,1,2.85s,远程位,治疗,"公开招募, 标准寻访, 中坚寻访, 主线剧情","cost,re_deploy,atk,re_deploy,cost`-1,-4,18,-6,-1","0,45,0",普通,普通,普通,标准,普通,标准,17,医师,恢复友方单位生命
芬,先锋,2,Fang,フェン,PA11,女,卡西米尔,行动预备组A1,行动预备组A1,库兰塔,罗德岛,,1325,325,260,0,70s,9→11,2,1.05s,近战位,费用回复,"公开招募, 标准寻访, 中坚寻访, 主线剧情","cost,re_deploy,def,re_deploy,cost`-1,-4,20,-6,-1","0,0,50",标准,优良,标准,标准,标准,标准,8,尖兵,能够阻挡两个敌人
芳汀,近卫,3,Arene,アレーン,LT06,男,拉特兰,,拉特兰,萨科塔,拉特兰,,2250,640,340,10,70s,16→18,2,1.3s,近战位,输出,"公开招募, 标准寻访, 中坚寻访","cost,re_deploy,atk,,cost`-1,-4,18,,-1","0,55,0",普通,普通,普通,优良,普通,优良,158,领主,可以进行远程攻击，但此时攻击力降低至80%
